Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,5.800000,5.840000,5.780000,5.810000,5.547565,3836685
2019-07-30,5.850000,5.890000,5.800000,5.830000,5.566662,8123991
2019-07-31,5.820000,5.825000,5.710000,5.710000,5.452082,4668948
2019-08-01,5.720000,5.790000,5.700000,5.770000,5.509372,3295615
2019-08-02,5.780000,5.840000,5.750000,5.830000,5.566662,3650466
2019-08-05,5.800000,5.810000,5.680000,5.710000,5.452082,2631705
2019-08-06,5.560000,5.595000,5.530000,5.530000,5.280213,6202495
2019-08-07,5.530000,5.630000,5.520000,5.610000,5.356599,4592416
2019-08-08,5.580000,5.705000,5.550000,5.700000,5.442533,4509945
2019-08-09,5.680000,5.760000,5.670000,5.740000,5.480727,4303091
2019-08-12,5.780000,5.800000,5.710000,5.750000,5.490276,2990202
2019-08-13,5.710000,5.800000,5.660000,5.780000,5.518921,5355854
2019-08-14,5.790000,5.860000,5.780000,5.840000,5.576210,4520323
2019-08-15,5.720000,5.735000,5.550000,5.570000,5.318406,9304426
2019-08-16,5.570000,5.630000,5.510000,5.530000,5.280213,5489772
2019-08-19,5.620000,5.640000,5.550000,5.640000,5.385244,4287864
2019-08-20,5.620000,5.750000,5.620000,5.750000,5.490276,5453409
2019-08-21,5.750000,5.820000,5.680000,5.780000,5.518921,5254101
2019-08-22,5.890000,6.070000,5.720000,5.860000,5.595307,21291065
2019-08-23,6.100000,6.120000,5.855000,5.890000,5.623952,13075994
2019-08-26,5.810000,5.890000,5.750000,5.880000,5.614404,5934684
2019-08-27,5.910000,6.145000,5.910000,6.070000,5.795822,12387877
2019-08-28,6.030000,6.135000,5.940000,6.100000,5.824466,8446216
2019-08-29,6.080000,6.100000,5.980000,6.000000,5.728983,13525292
2019-08-30,6.040000,6.175000,6.035000,6.110000,5.834015,9855499
2019-09-02,5.970000,6.060000,5.920000,5.980000,5.834014,3979871
2019-09-03,5.960000,6.100000,5.960000,6.060000,5.912062,4107094
2019-09-04,5.990000,6.060000,5.920000,6.050000,5.902306,7218329
2019-09-05,6.050000,6.120000,6.000000,6.080000,5.931573,4890888
2019-09-06,6.150000,6.240000,6.110000,6.230000,6.077911,8183074
2019-09-09,6.220000,6.250000,6.175000,6.210000,6.058400,4009312
2019-09-10,6.140000,6.160000,6.080000,6.100000,5.951085,5215934
2019-09-11,6.120000,6.230000,6.110000,6.220000,6.068155,9390397
2019-09-12,6.260000,6.290000,6.210000,6.260000,6.107179,5988479
2019-09-13,6.280000,6.420000,6.250000,6.400000,6.243762,11128641
2019-09-16,6.230000,6.240000,6.100000,6.110000,5.960841,13648859
2019-09-17,6.090000,6.200000,6.020000,6.170000,6.019376,8737120
2019-09-18,6.450000,6.570000,6.240000,6.280000,6.126691,17205122
2019-09-19,6.340000,6.350000,6.245000,6.280000,6.126691,8448710
2019-09-20,6.330000,6.330000,6.210000,6.210000,6.058400,5842865
2019-09-23,6.280000,6.300000,6.230000,6.260000,6.107179,4137162
2019-09-24,6.220000,6.260000,6.150000,6.200000,6.048644,6265516
2019-09-25,6.200000,6.240000,6.120000,6.240000,6.087667,7133725
2019-09-26,6.220000,6.330000,6.200000,6.230000,6.077911,6280129
2019-09-27,6.260000,6.350000,6.240000,6.340000,6.185226,4622252
2019-09-30,6.330000,6.360000,6.260000,6.290000,6.136447,5743436
2019-10-01,6.290000,6.440000,6.290000,6.440000,6.282785,7746413
2019-10-02,6.310000,6.420000,6.310000,6.400000,6.243762,7362516
2019-10-03,6.210000,6.340000,6.210000,6.300000,6.146203,6155363
2019-10-04,6.280000,6.400000,6.260000,6.370000,6.214494,5249569
2019-10-07,6.400000,6.450000,6.370000,6.450000,6.292541,3246813
2019-10-08,6.490000,6.490000,6.360000,6.400000,6.243762,3836152
2019-10-09,6.310000,6.360000,6.265000,6.320000,6.165715,7080657
2019-10-10,6.250000,6.370000,6.220000,6.350000,6.194982,7089191
2019-10-11,6.390000,6.410000,6.300000,6.350000,6.194982,3568176
2019-10-14,6.390000,6.530000,6.370000,6.500000,6.341320,5022613
2019-10-15,6.610000,6.770000,6.600000,6.690000,6.526682,18486077
2019-10-16,6.680000,6.705000,6.620000,6.690000,6.526682,8972033
2019-10-17,6.590000,6.640000,6.550000,6.580000,6.419367,9361812
2019-10-18,6.510000,6.560000,6.470000,6.530000,6.370588,9264989
2019-10-21,6.400000,6.545000,6.380000,6.540000,6.380344,6508397
2019-10-22,6.510000,6.600000,6.510000,6.540000,6.380344,7285853
2019-10-23,6.520000,6.580000,6.500000,6.520000,6.360832,8591160
2019-10-24,6.300000,6.310000,6.140000,6.280000,6.126691,14806743
2019-10-25,6.260000,6.310000,6.220000,6.250000,6.097423,8184107
2019-10-28,6.330000,6.490000,6.310000,6.490000,6.331564,8950456
2019-10-29,6.500000,6.580000,6.470000,6.520000,6.360832,9006872
2019-10-30,6.500000,6.580000,6.460000,6.580000,6.419367,12080487
2019-10-31,6.430000,6.510000,6.375000,6.410000,6.253517,13456007
2019-11-01,6.430000,6.500000,6.390000,6.450000,6.292541,7163466
2019-11-04,6.500000,6.670000,6.500000,6.650000,6.487659,12442522
2019-11-05,6.650000,6.655000,6.570000,6.610000,6.448635,7156262
2019-11-06,6.570000,6.640000,6.570000,6.600000,6.438879,6257392
2019-11-07,6.620000,6.630000,6.510000,6.570000,6.409612,9184661
2019-11-08,6.600000,6.720000,6.550000,6.710000,6.546194,12408686
2019-11-11,6.730000,6.870000,6.725000,6.830000,6.663264,10765098
2019-11-12,6.840000,6.950000,6.740000,6.940000,6.770579,17076958
2019-11-13,6.920000,7.015000,6.870000,6.950000,6.780334,18407977
